"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Martini, Nick","605361","2025",,,,,,,,,22,,,,,,,55,,,,
"Davidson, Logan","669722","2025",,,,,,,,,21,,,,,,,58,,,,
"Montes, Coco","663796","2025",,,,,,,,,20,,,,,,,12,,,,
"Workman, Gage","669398","2025",,,,,,,,,22,,,,,,,59,,,,
"Solak, Nick","669256","2025",,,,,,,,,24,,,,,,,33,,,,
"Cowser, Colton","681297","2025",,,,,,,,,70,,,,,,,17,,,,
"Sabol, Blake","666165","2025",,,,,,,,,21,,,,,,,55,,,,
"Monasterio, Andruw","655316","2025",,,,,,,,,4,,,,,,,31,,,,
"Barrosa, Jorge","678489","2025",,,,,,,,,8,,,,,,,74,,,,
"Outman, James","681546","2025",,,,,,,,,60,,,,,,,53,,,,
"Profar, Jurickson","595777","2025",,,,,,,,,5,,,,,,,1,,,,
"Dalbec, Bobby","666915","2025",,,,,,,,,31,,,,,,,56,,,,
"Margot, Manuel","622534","2025",,,,,,,,,9,,,,,,,10,,,,
"Villar, David","681584","2025",,,,,,,,,43,,,,,,,25,,,,
"Bruján, Vidal","660644","2025",,,,,,,,,11,,,,,,,34,,,,
"Wilson, Weston","642215","2025",,,,,,,,,33,,,,,,,49,,,,
"Acuña Jr., Ronald","660670","2025",,,,,,,,,96,,,,,,,35,,,,
"Lile, Daylen","695734","2025",,,,,,,,,26,,,,,,,82,,,,
"Keaschall, Luke","807712","2025",,,,,,,,,15,,,,,,,66,,,,
"Mayer, Marcelo","691785","2025",,,,,,,,,19,,,,,,,68,,,,
"Handley, Maverick","668974","2025",,,,,,,,,19,,,,,,,28,,,,
"Stefanic, Michael","683021","2025",,,,,,,,,9,,,,,,,8,,,,
"Senger, Hayden","663584","2025",,,,,,,,,12,,,,,,,21,,,,
"Lopez, Nicky","670032","2025",,,,,,,,,17,,,,,,,52,,,,
"Veen, Zac","691728","2025",,,,,,,,,52,,,,,,,77,,,,
"Haase, Eric","606992","2025",,,,,,,,,48,,,,,,,76,,,,
"Miranda, Jose","669304","2025",,,,,,,,,58,,,,,,,1,,,,
"Fairchild, Stuart","656413","2025",,,,,,,,,18,,,,,,,88,,,,
"Harris, Dustin","687957","2025",,,,,,,,,25,,,,,,,92,,,,
"Baker, Luken","663609","2025",,,,,,,,,56,,,,,,,9,,,,
"Gasper, Mickey","681508","2025",,,,,,,,,43,,,,,,,41,,,,
"Arcia, Orlando","606115","2025",,,,,,,,,25,,,,,,,4,,,,
"Taylor, Chris","621035","2025",,,,,,,,,15,,,,,,,72,,,,
"Carter, Evan","694497","2025",,,,,,,,,74,,,,,,,89,,,,
"Clase, Jonatan","682729","2025",,,,,,,,,19,,,,,,,90,,,,
"Tauchman, Mike","643565","2025",,,,,,,,,23,,,,,,,10,,,,
"Hampson, Garrett","641658","2025",,,,,,,,,2,,,,,,15,85,77,,,
"Dunn, Oliver","686554","2025",,,,,,,,,51,,,,,,,66,,,,
"De La Cruz, Bryan","650559","2025",,,,,,,,,26,,,,,,,66,,,,
"Carlson, Dylan","666185","2025",,,,,,,,,39,,,,,,,61,,,,
"DeJong, Paul","657557","2025",,,,,,,,,47,,,,,,,27,,,,
"Vivas, Jorbit","678391","2025",,,,,,,,,30,,,,,,,25,,,,
"Mateo, Jorge","622761","2025",,,,,,,,,36,,,,,,,95,2,,,
