"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Adames, Willy",642715,"SF","FF","4-Seam Fastball",-0.3,-1,"379",37.8,"101","0.228","0.38","0.31",12.7,10.9,11.2,"0.255","0.524","0.357",54.9
"Devers, Rafael",646240,"BOS","FF","4-Seam Fastball",1.5,7,"487",42.2,"93","0.303","0.579","0.432",35.3,21.5,12.4,"0.318","0.654","0.461",60.7
"Duran, Jarren",680776,"BOS","FF","4-Seam Fastball",0.7,2,"372",37.1,"91","0.278","0.481","0.365",24.7,20.9,21.6,"0.304","0.477","0.395",60.7
"Yastrzemski, Mike",573262,"SF","FF","4-Seam Fastball",-1.8,-6,"343",41.5,"90","0.183","0.305","0.252",23.7,31.1,27.5,"0.182","0.376","0.276",46.3
"Riley, Austin",663586,"ATL","FF","4-Seam Fastball",-0.6,-2,"397",39,"90","0.228","0.316","0.303",25.9,28.9,19.4,"0.25","0.398","0.328",54.7
"Tucker, Kyle",663656,"CHC","FF","4-Seam Fastball",2.2,7,"335",34,"89","0.229","0.471","0.39",14.2,7.9,9.6,"0.311","0.692","0.478",54
"India, Jonathan",663697,"KC","FF","4-Seam Fastball",-1,-3,"339",35.8,"89","0.227","0.267","0.286",16,13.5,11,"0.266","0.398","0.349",35.9
"Friedl, TJ",670770,"CIN","FF","4-Seam Fastball",1.5,5,"351",37.6,"88","0.382","0.474","0.423",5.7,5.7,7,"0.311","0.385","0.351",31.9
"Pasquantino, Vinnie",686469,"KC","FF","4-Seam Fastball",0.5,2,"331",37.6,"88","0.228","0.43","0.367",12.7,9.1,9.6,"0.274","0.568","0.39",45.1
"Flores, Wilmer",527038,"SF","FF","4-Seam Fastball",0.1,0,"317",34.4,"87","0.263","0.487","0.349",14.9,12.6,10.3,"0.25","0.413","0.316",23.2
"Santana, Carlos",467793,"CLE","FF","4-Seam Fastball",0,0,"296",32.1,"87","0.263","0.355","0.327",16.4,12.6,14.5,"0.233","0.424","0.323",34.8
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",1,4,"351",33.8,"86","0.23","0.5","0.371",21.1,23.3,17.4,"0.247","0.566","0.391",44.4
"Butler, Lawrence",671732,"ATH","FF","4-Seam Fastball",0.4,1,"301",32.8,"85","0.276","0.434","0.347",29.6,23.5,22,"0.253","0.434","0.335",50
"Nootbaar, Lars",663457,"STL","FF","4-Seam Fastball",0.1,0,"325",31.3,"85","0.247","0.37","0.328",7.3,14.1,15.4,"0.295","0.519","0.396",57.4
"Perdomo, Geraldo",672695,"AZ","FF","4-Seam Fastball",1.4,6,"434",43.4,"85","0.284","0.463","0.39",9.3,8.2,6.2,"0.279","0.446","0.374",28.6
"Larnach, Trevor",663616,"MIN","FF","4-Seam Fastball",-1.2,-3,"265",30.4,"84","0.2","0.4","0.285",14.3,13.1,17.5,"0.291","0.492","0.351",43.5
"Gurriel Jr., Lourdes",666971,"AZ","FF","4-Seam Fastball",-0.4,-1,"281",34.5,"84","0.243","0.419","0.326",11.2,9.5,10.5,"0.246","0.421","0.32",36.8
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",1.6,6,"375",34.5,"84","0.257","0.643","0.427",27.7,22.6,15.3,"0.287","0.695","0.457",62.7
"Santander, Anthony",623993,"TOR","FF","4-Seam Fastball",-2.2,-8,"367",42.1,"83","0.137","0.205","0.206",27.7,32.5,25,"0.163","0.242","0.236",46.8
"McMahon, Ryan",641857,"COL","FF","4-Seam Fastball",1.9,7,"370",38.9,"83","0.273","0.5","0.396",21,15.7,10.6,"0.301","0.587","0.437",53.7
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",-0.1,0,"375",36.1,"83","0.257","0.486","0.36",13.9,12,10.1,"0.298","0.548","0.404",50.8
"Stowers, Kyle",669065,"MIA","FF","4-Seam Fastball",1.7,5,"324",39.9,"82","0.268","0.592","0.396",35.1,32.9,30.7,"0.304","0.729","0.468",60
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",0.2,1,"367",39.8,"82","0.242","0.333","0.333",18.4,22,18.4,"0.251","0.377","0.345",50
"Volpe, Anthony",683011,"NYY","FF","4-Seam Fastball",1.8,6,"328",34.2,"82","0.314","0.557","0.41",30.1,24.4,19.6,"0.274","0.517","0.386",62.7
"Stott, Bryson",681082,"PHI","FF","4-Seam Fastball",0.6,3,"446",46,"81","0.319","0.522","0.412",19.8,19.8,11.8,"0.282","0.454","0.362",37
"Betts, Mookie",605141,"LAD","FF","4-Seam Fastball",1.6,5,"333",36.6,"81","0.328","0.469","0.412",6.8,3.7,5.5,"0.359","0.569","0.451",41.9
"Lee, Jung Hoo",808982,"SF","FF","4-Seam Fastball",-1.9,-6,"308",34,"80","0.23","0.297","0.266",8.2,11.3,10.3,"0.322","0.46","0.365",27.7
"García, Adolis",666969,"TEX","FF","4-Seam Fastball",-0.9,-3,"300",36.4,"80","0.186","0.314","0.266",25.7,27.5,19.6,"0.236","0.427","0.325",51
"Albies, Ozzie",645277,"ATL","FF","4-Seam Fastball",-0.5,-1,"263",30.5,"80","0.188","0.362","0.297",23.1,18.8,24.6,"0.226","0.418","0.33",33.3
"Abreu, Wilyer",677800,"BOS","FF","4-Seam Fastball",-0.1,0,"349",43.2,"80","0.183","0.408","0.298",25.1,28.7,19.5,"0.204","0.46","0.325",39.6
"Crawford, J.P.",641487,"SEA","FF","4-Seam Fastball",-0.3,-1,"379",38.8,"80","0.207","0.276","0.334",23.1,21.3,15.6,"0.211","0.314","0.352",23.8
"Schwarber, Kyle",656941,"PHI","FF","4-Seam Fastball",3.2,11,"331",30.2,"79","0.3","0.683","0.491",27.1,21.5,20,"0.308","0.745","0.501",67.4
"Semien, Marcus",543760,"TEX","FF","4-Seam Fastball",-0.9,-2,"239",26.4,"79","0.25","0.309","0.301",20.7,19,18.5,"0.243","0.402","0.329",35.2
"Turner, Trea",607208,"PHI","FF","4-Seam Fastball",0.3,1,"310",32.4,"78","0.319","0.493","0.381",18.7,21.8,19.8,"0.26","0.474","0.346",41.5
"Arraez, Luis",650333,"SD","FF","4-Seam Fastball",-0.1,0,"310",40.6,"78","0.3","0.471","0.351",5.6,3.8,4.5,"0.259","0.317","0.283",17.4
"Freeman, Freddie",518692,"LAD","FF","4-Seam Fastball",2.8,7,"255",35.4,"78","0.366","0.592","0.448",23.6,15.4,16.9,"0.363","0.635","0.448",52.5
"Toglia, Michael",669911,"COL","FF","4-Seam Fastball",-2.6,-7,"286",34.7,"78","0.169","0.211","0.206",29.1,34.6,34.2,"0.231","0.313","0.27",33.3
"Kwan, Steven",680757,"CLE","FF","4-Seam Fastball",-0.2,-1,"329",33.7,"77","0.292","0.462","0.378",5.8,3.9,3.4,"0.318","0.447","0.382",15.9
"Frelick, Sal",686217,"MIL","FF","4-Seam Fastball",0,0,"283",33.7,"77","0.279","0.412","0.357",9.9,7.8,8.1,"0.276","0.384","0.333",33.9
"De La Cruz, Elly",682829,"CIN","FF","4-Seam Fastball",1.4,4,"293",30.3,"77","0.338","0.648","0.439",26.8,23.4,24.3,"0.287","0.637","0.41",64.2
