"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Verlander, Justin",434378,"R","FF",422,"93.9",2427,"20.5",0.9159807752536139,0.9542971415525832,153.26846517269684,152.85593154608782,"4-Seam Fastball",95,60,60,0.4125336266090187,0.4125336266090315,0,1,0,1,0,0,0,"1:00","1:00"," 0H 00M"
,"Morton, Charlie",450203,"R","FF",275,"94",2336,"17.2",0.7969891632064804,0.846465600183311,128.15980669067798,135.7050216953648,"4-Seam Fastball",85,105,90,-7.54521500468681,7.545215004686813,15,1,45,1,30,0,15,"1:45","1:30","+0H 15M"
,"Wilson, Justin",458677,"L","FF",145,"94.3",2263,"19.7",0.9133288147993158,0.9722216830659167,203.90002000252127,197.79733536690532,"4-Seam Fastball",97,675,690,6.102684635615958,6.102684635615917,-15,11,15,11,30,0,15,"11:15","11:30","-0H 15M"
,"Carrasco, Carlos",471911,"R","FF",114,"91.5",2173,"12.2",0.5755960620598362,0.732078182797802,143.00236924249268,154.02495358747157,"4-Seam Fastball",73,75,765,-11.022584344978895,11.022584344978902,30,1,15,12,45,0,30,"1:15","12:45","+0H 30M"
,"Yates, Kirby",489446,"R","FF",150,"92.8",2288,"19.6",0.9107306227733,0.9742386293962537,128.17570412507058,131.94384073500598,"4-Seam Fastball",97,105,90,-3.7681366099353966,3.7681366099353797,15,1,45,1,30,0,15,"1:45","1:30","+0H 15M"
,"Kelly, Merrill",518876,"R","FF",274,"91.7",2359,"17.4",0.8119105045725536,0.8366259146175083,133.78955249741858,145.99236455335455,"4-Seam Fastball",84,90,75,-12.202812055935965,12.202812055935956,15,1,30,1,15,0,15,"1:30","1:15","+0H 15M"
,"Pomeranz, Drew",519141,"L","FF",141,"93",2585,"18",0.7895079650821981,0.7544925029112408,195.1961215334651,186.04714808978437,"4-Seam Fastball",75,690,705,9.148973443680717,9.148973443680713,-15,11,30,11,45,0,15,"11:30","11:45","-0H 15M"
,"Pressly, Ryan",519151,"R","FF",120,"93",2567,"15.9",0.698046357078841,0.7015884516903288,167.01844619294093,182.08514527469958,"4-Seam Fastball",70,750,720,-15.066699081758657,15.066699081758655,30,12,30,12,0,0,30,"12:30","12:00","+0H 30M"
,"Sale, Chris",519242,"L","FF",471,"94.9",2238,"17.4",0.8466840908251677,0.9413557218837962,248.61563873273502,241.91885770222626,"4-Seam Fastball",94,585,600,6.69678103050876,6.69678103050881,-15,9,45,10,0,0,15,"9:45","10:00","-0H 15M"
,"Hendriks, Liam",521230,"R","FF",128,"94.9",2335,"19.6",0.9005784303294444,0.9708859150639767,153.32188442085985,156.38427669400326,"4-Seam Fastball",97,60,765,-3.0623922731434163,3.0623922731433932,15,1,0,12,45,0,15,"1:00","12:45","+0H 15M"
,"Anderson, Tyler",542881,"L","FF",412,"88.9",2180,"20",0.9228339622145089,0.9900965982448673,202.8794852823239,199.28459901601553,"4-Seam Fastball",99,675,675,3.5948862663083787,3.594886266308363,0,11,15,11,15,0,0,"11:15","11:15"," 0H 00M"
,"Eovaldi, Nathan",543135,"R","FF",307,"94.1",2209,"19.1",0.8899510207600221,0.9304992987609382,129.45546508702282,125.10899661671678,"4-Seam Fastball",93,105,105,4.346468470306036,4.346468470306038,0,1,45,1,45,0,0,"1:45","1:45"," 0H 00M"
,"Gray, Sonny",543243,"R","FF",190,"91.8",2507,"10.2",0.45142195560515413,0.5640725260620413,164.04497595015604,188.29023741141506,"4-Seam Fastball",56,750,705,-24.24526146125902,24.245261461259034,45,12,30,11,45,0,45,"12:30","11:45","+0H 45M"
,"Hendricks, Kyle",543294,"R","FF",142,"86.5",2040,"14.8",0.6977823264125859,0.8741628420406288,148.04322185622144,157.9062274636961,"4-Seam Fastball",87,60,765,-9.863005607474662,9.863005607474696,15,1,0,12,45,0,15,"1:00","12:45","+0H 15M"
,"Lorenzen, Michael",547179,"R","FF",276,"94.3",2331,"19",0.8831413233540862,0.9629650518445986,139.80253134593332,142.90091379092956,"4-Seam Fastball",96,75,75,-3.098382444996247,3.0983824449962403,0,1,15,1,15,0,0,"1:15","1:15"," 0H 00M"
,"Chapman, Aroldis",547973,"L","FF",166,"98.6",2449,"18.8",0.8597591035104178,0.9084718674456783,196.43081629651877,191.96708812671488,"4-Seam Fastball",91,690,690,4.463728169803886,4.463728169803924,0,11,30,11,30,0,0,"11:30","11:30"," 0H 00M"
,"García, Yimi",554340,"R","FF",145,"96",2592,"18.3",0.8006232159027802,0.80715479965823,135.95724479351327,145.82506012184,"4-Seam Fastball",81,90,75,-9.867815328326742,9.867815328326756,15,1,30,1,15,0,15,"1:30","1:15","+0H 15M"
,"Wheeler, Zack",554430,"R","FF",492,"95.8",2452,"17.6",0.7965376108353778,0.8582519901232666,135.37021374993242,145.3700926845419,"4-Seam Fastball",86,90,75,-9.999878934609484,9.999878934609493,15,1,30,1,15,0,15,"1:30","1:15","+0H 15M"
,"Boyd, Matthew",571510,"L","FF",475,"93.1",2325,"18.6",0.8554011684328857,0.9379483049785533,230.6290216609122,226.3121431026716,"4-Seam Fastball",94,615,630,4.316878558240603,4.316878558240635,-15,10,15,10,30,0,15,"10:15","10:30","-0H 15M"
,"Heaney, Andrew",571760,"L","FF",434,"90.1",2374,"20.8",0.9348810580554175,0.9940640026007521,237.12627408016792,234.35846914197123,"4-Seam Fastball",99,600,615,2.76780493819669,2.7678049381967122,-15,10,0,10,15,0,15,"10:00","10:15","-0H 15M"
,"Mikolas, Miles",571945,"R","FF",238,"92",2187,"16.7",0.785349732842883,0.8918057049123148,142.27426072959307,149.0766856695787,"4-Seam Fastball",89,75,60,-6.802424939985627,6.802424939985635,15,1,15,1,0,0,15,"1:15","1:00","+0H 15M"
,"Miller, Shelby",571946,"R","FF",231,"94.9",2422,"20.9",0.9671039938649197,0.995114350956267,144.47552105355265,146.70019760098234,"4-Seam Fastball",100,75,60,-2.224676547429681,2.2246765474296737,15,1,15,1,0,0,15,"1:15","1:00","+0H 15M"
,"Thielbar, Caleb",573204,"L","FF",121,"92.4",2333,"19.2",0.8789515202133199,0.9174601123016158,194.357475469322,191.38682574801865,"4-Seam Fastball",92,690,690,2.970649721303346,2.970649721303356,0,11,30,11,30,0,0,"11:30","11:30"," 0H 00M"
,"Kikuchi, Yusei",579328,"L","FF",413,"94.6",2184,"18.3",0.8705746452892433,0.9266433782923499,224.692545236324,216.40654859701462,"4-Seam Fastball",93,630,645,8.285996639309388,8.285996639309365,-15,10,30,10,45,0,15,"10:30","10:45","-0H 15M"
,"Booser, Cam",592155,"L","FF",172,"96",2147,"17.5",0.8425058656444698,0.9548410798199352,208.26789684813033,206.05145044055666,"4-Seam Fastball",95,660,675,2.2164464075736703,2.216446407573664,-15,11,0,11,15,0,15,"11:00","11:15","-0H 15M"
,"Gausman, Kevin",592332,"R","FF",549,"94.5",2278,"20.7",0.9560027766252832,0.9801568118002582,142.71028049393982,145.11948539269304,"4-Seam Fastball",98,75,75,-2.4092048987532166,2.409204898753214,0,1,15,1,15,0,0,"1:15","1:15"," 0H 00M"
,"Ray, Robbie",592662,"L","FF",522,"93.6",2377,"20.2",0.8996594099757054,0.9504978811088508,210.5565666137611,204.52990146007534,"4-Seam Fastball",95,660,675,6.026665153685769,6.026665153685772,-15,11,0,11,15,0,15,"11:00","11:15","-0H 15M"
,"Stanek, Ryne",592773,"R","FF",222,"98.4",2336,"20.5",0.9497936180970384,0.9938556339389705,152.5496006257713,153.28005052408906,"4-Seam Fastball",99,60,60,-0.7304498983177723,0.7304498983177445,0,1,0,1,0,0,0,"1:00","1:00"," 0H 00M"
,"Stewart, Brock",592779,"R","FF",127,"95.7",2609,"16.5",0.7360130511680679,0.7491900141435621,147.69340669640465,157.23172983487348,"4-Seam Fastball",75,60,765,-9.538323138468826,9.538323138468831,15,1,0,12,45,0,15,"1:00","12:45","+0H 15M"
,"Taillon, Jameson",592791,"R","FF",371,"92.5",2317,"19.7",0.892079241465163,0.9452879187327894,151.8250828822005,154.61728783065834,"4-Seam Fastball",95,60,765,-2.792204948457851,2.7922049484578624,15,1,0,12,45,0,15,"1:00","12:45","+0H 15M"
,"Williams, Trevor",592866,"R","FF",370,"87.5",2210,"9.5",0.4333966016993729,0.6141088525428469,149.81146501271735,168.7335877842106,"4-Seam Fastball",61,60,750,-18.922122771493264,18.92212277149327,30,1,0,12,30,0,30,"1:00","12:30","+0H 30M"
,"Rodriguez, Eduardo",593958,"L","FF",345,"91.9",2298,"16.2",0.7612559713263329,0.8088919438111227,203.09556504101036,200.45679260606198,"4-Seam Fastball",81,675,675,2.638772434948379,2.638772434948377,0,11,15,11,15,0,0,"11:15","11:15"," 0H 00M"
,"deGrom, Jacob",594798,"R","FF",441,"97.1",2509,"18.6",0.8458344685711815,0.9061562420652453,141.02119550712712,148.79608741003517,"4-Seam Fastball",91,75,60,-7.7748919029080525,7.774891902908028,15,1,15,1,0,0,15,"1:15","1:00","+0H 15M"
,"Lively, Ben",594902,"R","FF",207,"89.7",2029,"18.5",0.8859839146247017,0.9734518412306388,144.91035417712087,150.26611082438552,"4-Seam Fastball",97,75,60,-5.355756647264656,5.3557566472646645,15,1,15,1,0,0,15,"1:15","1:00","+0H 15M"
,"Okert, Steven",595345,"L","FF",159,"92.4",2230,"18.3",0.8480631208984309,0.9381802204193151,220.17288702930557,210.23829663228332,"4-Seam Fastball",94,645,660,9.934590397022248,9.934590397022232,-15,10,45,11,0,0,15,"10:45","11:00","-0H 15M"
,"Weaver, Luke",596133,"R","FF",198,"94.3",2429,"20.2",0.9075524751875056,0.9574573245775523,155.5818349527746,158.56152626018462,"4-Seam Fastball",96,765,765,-2.9796913074100075,2.979691307410018,0,12,45,12,45,0,0,"12:45","12:45"," 0H 00M"
,"Pivetta, Nick",601713,"R","FF",468,"93.6",2296,"19.3",0.8979096817105384,0.9495985996399806,170.48365022354176,174.4867184214451,"4-Seam Fastball",95,735,735,-4.003068197903332,4.003068197903323,0,12,15,12,15,0,0,"12:15","12:15"," 0H 00M"
,"Brebbia, John",605154,"R","FF",132,"92.5",2161,"19.9",0.9428164096666813,0.9970675590281158,141.0855911142986,143.71499390743324,"4-Seam Fastball",100,75,75,-2.6294027931346307,2.6294027931346564,0,1,15,1,15,0,0,"1:15","1:15"," 0H 00M"
,"Nola, Aaron",605400,"R","FF",218,"91.4",2307,"20",0.9018991572086528,0.9508592113886831,131.55178557213566,134.0475117592278,"4-Seam Fastball",95,90,90,-2.4957261870921457,2.4957261870921554,0,1,30,1,30,0,0,"1:30","1:30"," 0H 00M"
,"Romano, Jordan",605447,"R","FF",128,"95.2",2273,"19.2",0.8959653046276138,0.9737225124182443,154.60135917535737,157.64455649541793,"4-Seam Fastball",97,765,765,-3.043197320060557,3.0431973200605524,0,12,45,12,45,0,0,"12:45","12:45"," 0H 00M"
,"Ross, Joe",605452,"R","FF",158,"93.8",2210,"11.4",0.5459995596221207,0.7629324502335245,152.4505463960108,162.1859402654267,"4-Seam Fastball",76,60,750,-9.735393869415901,9.7353938694159,30,1,0,12,30,0,30,"1:00","12:30","+0H 30M"
