"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Gusto, Ryan",687473,2025,178,23.6,10.7,".345",".339",35.3,9.5,44,"82.02968069","95.188863448",24.7,48
"Schmidt, Clarke",657376,2025,179,23.5,11.2,".306",".289",36.8,6.8,34.2,"76.517815345","93.768598103",29,47
"Olson, Reese",681857,2025,201,25.4,9.5,".275",".306",30.7,7.1,47.2,"80.700173016","95.30611328",32.1,43.9
"Smith-Shawver, AJ",700363,2025,191,22,10.5,".319",".390",41.4,12.5,50.8,"80.383414444","95.756931587",27.1,46.3
"Warren, Will",701542,2025,218,30.7,9.2,".293",".305",34.1,10.1,49.6,"80.872083125","95.84438625",29.8,40.6
"Leiter, Jack",683004,2025,194,18.6,11.9,".278",".351",33.1,10.5,39.8,"80.064629403","94.442109624",22.5,45.9
"Elder, Bryce",693821,2025,181,18.2,7.2,".336",".348",26.9,9.7,47,"78.14520403","95.352454701",19.2,44
"Megill, Tylor",656731,2025,237,30.4,11.4,".296",".311",29.9,6,44.8,"79.450420909","94.992123182",29.6,43
"Walker, Taijuan",592836,2025,192,20.3,8.9,".306",".303",33.6,4.5,35.8,"76.918060455","93.364957939",19.8,44.9
"Greene, Hunter",668881,2025,214,30.8,5.1,".270",".274",35.6,10.4,43,"79.563613284","94.622139104",31,55.7
"King, Michael",650633,2025,225,28.4,7.6,".264",".284",32.4,11.3,39.4,"75.670460141","94.364316312",27.8,44.1
"Hancock, Emerson",676106,2025,197,16.2,7.6,".375",".370",37.2,7.4,35.1,"77.326323514","93.689324595",19.9,48.2
"Senga, Kodai",673540,2025,228,22.8,11.4,".289",".306",28.2,6,43,"78.11371527","94.374719456",26.5,45.9
"Houck, Tanner",656557,2025,203,15.8,8.4,".400",".381",35.6,8.1,46.3,"79.817193867","95.438010268",21.6,44.5
"Yamamoto, Yoshinobu",808967,2025,246,30.5,8.1,".236",".263",27.3,6,38.7,"78.823828514","94.459235676",30,45.9
"Hicks, Jordan",663855,2025,213,19.7,8,".344",".316",30,4.7,44.7,"77.961522267","94.812992483",24.2,44.6
"Brown, Ben",676962,2025,234,26.5,7.7,".352",".339",36.4,9.3,45.7,"82.143516133","95.154110805",28.9,46.9
"Povich, Cade",700249,2025,226,23.5,8.8,".354",".389",39.2,13.1,50.3,"81.188260921","95.640456908",23.5,43
"Ryan, Joe",657746,2025,242,29.8,3.7,".263",".293",31.8,13.6,41.6,"80.5079225","94.506108947",28.3,49.6
"Canning, Griffin",656288,2025,228,21.9,10.5,".310",".333",30.5,9.1,47.4,"81.486701447","95.28605245",25.8,45.5
"Gore, MacKenzie",669022,2025,278,36.3,7.2,".301",".298",38.1,10.3,47.1,"80.804292078","95.395629477",34.7,50.2
"López, Pablo",641154,2025,226,25.2,4.9,".269",".290",35.5,5.8,31.6,"76.285667662","93.56723902",26,49.3
"Allen, Logan",671106,2025,219,16.4,11.4,".344",".349",31.4,10.3,35.3,"77.003050779","94.029024026",17.8,41.6
"Pivetta, Nick",601713,2025,246,28.9,7.3,".258",".308",35.3,11.5,41,"77.224141039","94.169906364",26.7,48.1
"Smith, Shane",681343,2025,242,22.3,9.5,".284",".314",32.9,5.7,41.8,"78.365171538","95.103941282",28.8,48.1
"Rasmussen, Drew",656876,2025,222,21.6,5.9,".257",".302",30.4,5.7,43.7,"81.649411519","94.705628025",21.9,48.5
"Verlander, Justin",434378,2025,225,18.2,9.3,".340",".361",37.7,11.7,40.1,"78.952958642","94.228643333",26,49.2
"Ortiz, Luis",682847,2025,258,24.8,11.6,".319",".359",31.1,11.6,50,"83.191802469","96.379548519",30.1,46.7
"Alcantara, Sandy",645261,2025,237,16.9,12.2,".363",".369",32.1,9.7,46.7,"81.346851325","95.080770364",21.6,45.1
"Rodón, Carlos",607074,2025,284,31.7,9.2,".240",".278",31.5,7.7,38.7,"77.828604268","94.20156689",32.8,44.6
"Patrick, Chad",694477,2025,241,21.2,7.5,".300",".322",39.1,5.9,43.2,"79.306156905","94.587951078",20.5,49.9
"Francis, Bowden",670102,2025,237,19.4,7.2,".363",".364",32.2,11.1,48.5,"79.501433412","95.443177647",23.1,47.5
"Gray, Sonny",543243,2025,254,26,5.1,".308",".332",36.3,9.9,39.2,"77.82838186","94.473649415",25.3,47.7
"Holmes, Grant",656550,2025,265,24.2,10.2,".300",".326",36.6,12.2,41.9,"80.131710349","94.723908372",25.3,47.7
"Bubic, Kris",663460,2025,268,26.1,7.5,".247",".277",34.7,6.3,35.8,"74.620760682","93.296582171",30.3,49.9
"Lugo, Seth",607625,2025,239,18.8,7.1,".313",".361",33,8.5,45.5,"80.18395931","94.959223506",19,44.5
"Falter, Bailey",663559,2025,238,16.8,8.8,".289",".311",30.1,8,43.8,"78.496203218","94.268033103",18.4,45.2
